Symbol,Median Target,High Estimate,Low Estimate,Median Estimate,Last Price,Analyst Count
STZ,297,325,250,+19.09%,249.40.,25
CEG,132,151,116,+8.88%,121.23.,13
COO,385,440,337,+3.39%,372.55.,20
CPRT,57,58,48,+18.66%,48.04.,11
GLW,32,40,28,+4.47%,30.87.,16
CTVA,58,69,50,+26.47%,45.86.,27
CSGP,96,106,77,+12.85%,85.07.,17
COST,697,755,502,+1.46%,686.95.,37
CTRA,31,39,25,+22.63%,25.28.,29
CCI,115,133,85,+5.96%,108.53.,19
CSX,38,42,30,+7.44%,35.37.,28
CMI,256,290,225,+6.47%,240.62.,23
CVS,90,104,74,+23.27%,73.01.,28
DHI,166,192,130,+18.14%,140.51.,24
DHR,250,272,205,+7.30%,233.00.,27
DRI,180,193,154,+11.82%,160.98.,32
DVA,113,120,90,+5.42%,107.19.,9
DE,425,493,375,+7.95%,393.71.,27
DAL,51,77,45,+29.58%,39.64.,23
XRAY,38,42,30,+8.85%,34.91.,15
DVN,52,75,46,+22.01%,42.62.,31
DXCM,145,170,110,+18.87%,121.98.,24
FANG,178,240,129,+14.25%,156.23.,33
DLR,138,170,99,-3.26%,143.16.,24
DFS,113,137,104,+6.16%,106.91.,24
DIS,106,115,63,+11.16%,95.36.,30
DG,141,170,80,+6.02%,133.47.,32
DLTR,155,195,105,+17.20%,132.68.,29
D,48,57,41,+5.38%,45.55.,18
DPZ,452,500,346,+7.98%,419.05.,34
DOV,165,207,145,+10.04%,149.95.,18
DOW,56,63,52,+3.57%,54.07.,24
DTE,117,129,111,+13.72%,103.61.,19
DUK,102,120,89,+6.39%,95.87.,21
DD,75,100,68,+15.97%,64.67.,19
EMN,94,115,78,+11.60%,84.91.,22
ETN,259,276,200,+5.36%,245.83.,22
EBAY,45,56,32,+5.44%,42.68.,30
ECL,210,240,180,+5.83%,198.44.,27
EIX,75,86,60,+11.80%,67.53.,18
EW,81,96,57,+10.63%,73.22.,32
EA,150,162,128,+7.60%,139.41.,29
ELV,569,629,533,+17.73%,483.73.,20
LLY,675,763,430,+5.57%,639.36.,26
EMR,110,134,88,+15.72%,95.06.,24
ENPH,126,166,76,+19.62%,105.33.,42
ETR,110,121,97,+10.76%,99.31.,20
EOG,140,172,113,+21.58%,115.56.,33
EPAM,295,355,233,+2.33%,288.28.,21
EQT,46,56,30,+28.24%,35.87.,27
EFX,268,315,207,+8.91%,246.07.,24
EQIX,875,960,767,+7.90%,810.97.,25
EQR,65,73,58,+10.72%,59.16.,23
ESS,243,291,225,+2.77%,236.46.,23
EL,140,180,115,+7.42%,130.80.,30
ETSY,87,125,47,+25.11%,69.54.,33
EG,452,522,395,+19.03%,379.74.,15
EVRG,54,60,51,+8.51%,49.77.,9
ES,63,72,54,+14.29%,55.13.,18
EXC,39,41,36,+11.43%,35.00.,20
EXPE,158,200,115,+4.01%,151.91.,35
EXPD,107,128,84,-17.63%,129.90.,19
EXR,161,187,145,+9.56%,147.41.,16
XOM,124,149,105,+20.71%,103.00.,29
FFIV,170,200,150,-7.43%,183.64.,16
FDS,466,500,372,-0.88%,470.64.,22
FICO,1350,1500,713,+12.85%,1,15
FAST,63,75,58,-7.87%,68.39.,17
FRT,110,125,95,+6.64%,103.62.,18
FDX,300,347,205,+19.25%,251.58.,34
FITB,38,43,29,+9.01%,34.86.,25
FSLR,227,326,170,+53.51%,147.87.,31
FE,41,47,32,+12.70%,36.38.,15
FIS,69,81,52,+9.65%,63.52.,32
FI,151,185,128,+6.82%,141.36.,38
FLT,300,343,240,+2.08%,293.94.,21
FMC,68,95,53,+16.52%,58.36.,22
F,12,20,9,+5.31%,11.40.,25
FTNT,61,77,49,-6.26%,66.12.,41
FTV,80,96,70,+8.17%,73.96.,21
FOXA,35,44,29,+8.66%,32.21.,25
FOX,35,44,29,+19.35%,29.75.,24
BEN,27,31,23,-2.14%,27.59.,15
FCX,46,57,37,+16.22%,39.58.,20
GRMN,120,135,100,-3.82%,124.77.,9
IT,446,536,400,-3.23%,460.88.,12
GEHC,84,97,66,+15.50%,73.16.,15
GEN,27,28,24,+13.61%,23.77.,10
GNRC,141,175,78,+22.92%,114.71.,29
GD,290,345,253,+9.41%,265.06.,25
GE,148,165,120,+12.83%,131.17.,19
GIS,68,82,58,+5.41%,64.51.,22
GM,42,95,27,+19.39%,35.18.,27
GPC,155,192,140,+8.73%,142.56.,15
GILD,89,116,69,+12.24%,79.56.,31
GL,135,160,115,+9.08%,123.76.,10
GPN,150,180,90,+12.02%,133.90.,39
GS,418,493,325,+10.75%,377.88.,26
HAL,49,54,43,+30.58%,37.53.,31
HIG,88,132,77,+1.36%,86.82.,24
HAS,57,73,48,+12.85%,51.13.,17
HCA,300,338,250,+6.03%,283.41.,22
PEAK,22,25,16,+15.86%,19.42.,13
HSIC,75,82,65,+2.34%,74.21.,14
HSY,205,248,180,+7.78%,190.21.,25
HES,165,196,140,+14.72%,144.27.,18
HPE,17,21,15,+7.26%,15.85.,16
HLT,181,204,145,-6.04%,192.64.,24
HOLX,82,95,75,+11.49%,74.40.,19
HD,350,415,254,-1.49%,355.28.,38
HON,223,250,175,+10.77%,201.77.,25
HRL,31,33,26,+0.05%,30.99.,12
HST,21,24,17,+9.08%,19.71.,23
HWM,60,74,55,+8.23%,55.44.,22
HPQ,30,40,22,+2.83%,30.00.,18
HUBB,343,383,275,+4.29%,328.88.,13
HUM,415,550,359,+14.89%,361.22.,22
HBAN,14,16,12,+7.32%,13.05.,23
HII,270,300,206,+5.59%,255.70.,14
IBM,188,224,125,+0.33%,187.38.,20
IEX,219,250,210,+4.94%,209.21.,17
IDXX,600,650,460,+14.31%,524.87.,13
ITW,245,277,192,-6.60%,262.32.,19
ILMN,144,258,80,+2.52%,140.46.,26
INCY,77,93,58,+26.98%,60.64.,23
PODD,236,270,163,+21.08%,195.46.,24
INTC,44,68,17,+0.85%,43.63.,42
ICE,144,154,123,+13.52%,127.29.,20
IFF,82,112,67,+0.28%,82.27.,25
IP,38,46,34,+2.48%,37.57.,11
IPG,35,40,31,+6.09%,32.99.,14
INTU,640,720,470,-0.22%,641.41.,30
ISRG,418,475,273,+11.55%,374.73.,32
IVZ,18,21,16,+11.04%,16.21.,18
INVH,38,41,35,+14.30%,33.24.,22
IQV,243,286,200,+12.69%,216.07.,22
IRM,72,79,44,+6.57%,67.56.,9
JBHT,212,234,170,+2.70%,206.43.,26
JKHY,169,190,140,-0.08%,169.63.,17
J,151,176,137,+10.07%,137.19.,17
JNJ,173,215,157,+8.77%,159.51.,22
JCI,65,75,50,+14.82%,56.61.,23
JPM,192,232,150,+11.74%,172.28.,26
JNPR,40,40,28,+7.53%,37.20.,16
K,57,70,53,+5.02%,54.75.,20
KVUE,25,27,21,+19.99%,20.84.,16
KDP,37,42,27,+15.66%,31.99.,21
KEY,16,18,12,+9.14%,14.66.,24
KEYS,163,208,134,+4.54%,155.92.,17
KMB,126,153,110,+4.40%,121.17.,21
KIM,24,26,20,+16.90%,20.53.,21
KMI,20,23,17,+17.61%,17.43.,23
KLAC,645,750,514,+7.65%,599.15.,25
KHC,38,44,35,+2.18%,37.19.,22
KR,50,65,34,+9.09%,46.29.,25
LHX,240,279,184,+14.71%,209.22.,24
LH,243,270,215,+8.09%,224.82.,16
LRCX,900,980,655,+7.27%,838.97.,29
LW,129,138,112,+23.81%,104.19.,12
LVS,64,75,54,+27.92%,50.03.,17
LDOS,125,136,105,+12.53%,111.53.,17
LEN,165,190,122,+11.20%,148.38.,23
LIN,440,480,347,+8.91%,404.01.,29
LYV,113,128,85,+26.60%,89.26.,20
LKQ,63,68,55,+32.23%,47.65.,12
LMT,483,550,380,+12.35%,429.91.,25
L,52,52,52,-28.55%,72.78.,1
LOW,233,289,165,+10.32%,211.98.,35
LULU,531,610,250,+11.19%,478.03.,37
LYB,101,115,93,+5.84%,95.43.,24
MTB,157,180,139,+10.91%,141.55.,25
MRO,32,39,24,+37.90%,23.21.,28
MPC,165,191,155,+2.80%,160.50.,19
MKTX,283,335,229,+2.33%,276.55.,15
MAR,228,250,160,-5.63%,241.60.,25
MMC,205,226,185,+6.22%,192.99.,22
MLM,545,605,465,+8.63%,501.70.,24
MAS,69,82,52,+2.59%,67.26.,24
MA,475,520,412,+8.31%,438.56.,40
MTCH,40,60,31,+7.71%,37.96.,29
MKC,70,84,57,+1.53%,69.07.,15
MCD,325,383,280,+11.18%,292.33.,38
MCK,522,564,450,+7.66%,485.03.,19
MDT,90,104,72,+3.99%,86.55.,31
MRK,129,140,103,+6.77%,120.82.,27
META,400,477,175,+1.49%,394.12.,63
MET,81,89,70,+15.00%,70.87.,18
MTD,1090,1491,975,-10.50%,1,13
MGM,54,66,42,+23.74%,43.64.,19
MCHP,95,105,75,+9.28%,86.93.,26
MU,97,140,74,+10.16%,88.06.,37
MSFT,425,600,370,+5.20%,403.99.,52
MAA,138,181,124,+5.85%,130.84.,23
MRNA,116,310,60,+14.41%,101.83.,25
MHK,102,125,80,+1.50%,100.99.,17
MOH,390,457,357,+10.27%,353.68.,15
TAP,66,77,58,+6.03%,62.72.,21
MDLZ,81,89,74,+7.81%,75.13.,25
MPWR,650,750,500,+8.14%,601.07.,15
MNST,64,69,55,+15.48%,55.42.,26
MCO,400,455,340,+2.78%,389.17.,24
MS,95,116,80,+8.27%,87.74.,26
MOS,39,54,31,+22.03%,32.23.,22
MSI,342,370,300,+4.97%,326.28.,13
MSCI,600,640,460,+9.28%,549.04.,19
NDAQ,61,82,54,+4.91%,58.62.,17
NTAP,89,105,73,+1.08%,88.05.,21
NFLX,576,700,335,+0.99%,570.33.,52
NEM,49,59,39,+45.28%,34.21.,23
NWSA,27,32,23,+12.69%,24.75.,8
NWS,10,10,10,-61.18%,25.76.,1
NEE,70,84,46,+20.55%,58.48.,22
NKE,124,150,88,+21.18%,102.74.,38
NI,29,32,27,+12.27%,25.83.,14
NDSN,275,300,245,+9.46%,252.13.,12
NSC,247,272,185,+5.62%,234.32.,28
NTRS,86,99,80,+5.38%,81.61.,18
NOC,484,615,385,+10.61%,438.04.,22
NCLH,18,25,14,+4.53%,17.22.,20
NRG,54,65,40,-0.48%,54.26.,13
NUE,180,210,154,+2.80%,175.09.,13
NVDA,650,1100,410,+6.52%,610.22.,53
NVR,7430,7930,6300,+5.75%,7,7
NXPI,238,264,150,+11.02%,215.10.,28
ORLY,1070,1170,930,+4.70%,1,27
OXY,65,80,58,+11.30%,58.40.,26
ODFL,406,490,345,+3.54%,392.62.,22
OMC,97,117,79,+7.24%,90.92.,14
ON,90,110,60,+25.58%,71.67.,34
OKE,77,86,68,+9.30%,70.45.,23
ORCL,125,150,100,+9.02%,114.66.,35
OTIS,96,100,80,+8.32%,88.63.,14
PCAR,105,125,91,+3.41%,101.76.,21
PKG,173,185,154,+0.62%,171.94.,11
PANW,330,405,241,-3.61%,342.35.,46
PARA,13,30,9,-5.83%,13.81.,30
PH,505,627,300,+7.15%,471.29.,19
PAYX,121,130,105,+0.67%,120.91.,21
PAYC,191,270,140,-1.18%,193.79.,21
PYPL,68,120,50,+11.38%,61.80.,47
PNR,79,83,65,+9.04%,72.45.,20
PEP,185,220,151,+10.20%,167.87.,22
PFE,30,45,23,+9.23%,27.47.,24
PCG,19,23,16,+14.77%,16.99.,17
PM,109,134,85,+19.96%,90.86.,19
PSX,142,153,123,+1.25%,140.24.,21
PNW,76,95,71,+7.19%,71.37.,15
PXD,242,306,220,+5.27%,230.46.,26
PNC,163,199,141,+8.11%,151.60.,26
POOL,376,432,308,-0.25%,377.34.,14
PPG,160,175,145,+12.21%,143.03.,27
PPL,30,32,27,+15.85%,25.90.,13
PFG,80,88,62,-0.63%,80.51.,15
PG,170,178,155,+8.87%,156.15.,26
PGR,179,244,161,-0.23%,179.41.,23
PLD,143,163,128,+12.68%,126.91.,25
PRU,106,132,92,-0.21%,106.22.,17
PEG,65,70,61,+12.70%,57.68.,20
PTC,190,210,160,+5.16%,180.68.,21
PSA,315,344,278,+8.67%,289.88.,17
PHM,115,139,85,+9.41%,105.11.,19
QRVO,110,136,79,+6.09%,103.69.,28
PWR,224,250,190,+14.38%,196.27.,18
QCOM,155,175,120,+2.87%,150.68.,34
DGX,145,165,139,+11.17%,130.44.,19
RL,147,189,100,+2.43%,144.10.,21
RJF,117,135,106,+3.57%,113.21.,16
RTX,94,112,75,+4.52%,90.41.,26
O,61,70,57,+11.88%,54.97.,15
REG,71,75,65,+12.39%,63.62.,16
REGN,1020,1125,710,+8.56%,939.54.,25
RF,21,23,18,+9.72%,19.14.,28
RSG,174,190,142,+1.58%,171.29.,22
RMD,205,239,164,+8.09%,190.10.,23
RVTY,108,125,85,-1.84%,110.02.,19
RHI,72,100,59,-12.06%,81.87.,15
ROK,305,366,220,+0.67%,302.97.,26
ROL,44,52,32,+3.68%,43.23.,13
ROP,580,679,454,+5.55%,549.48.,18
ROST,143,160,85,+0.86%,141.78.,24
RCL,137,165,79,+10.99%,123.44.,22
SPGI,487,550,435,+9.05%,446.60.,25
CRM,282,390,212,+0.89%,280.02.,47
SBAC,270,343,228,+18.53%,227.80.,18
SLB,70,81,62,+32.30%,52.91.,31
STX,92,115,50,+1.71%,90.45.,23
SEE,42,49,33,+14.02%,36.84.,15
SRE,82,89,76,+15.62%,70.92.,21
NOW,845,910,640,+9.82%,769.45.,38
SHW,322,360,256,+6.69%,301.81.,29
SPG,144,180,122,+1.46%,141.93.,18
SWKS,110,154,83,+5.18%,104.58.,32
SJM,130,150,108,-1.30%,131.71.,18
SNA,282,325,210,-2.66%,289.70.,12
SEDG,89,166,33,+29.15%,68.91.,34
SO,75,82,67,+8.49%,69.13.,22
LUV,29,40,15,-3.64%,30.10.,22
SWK,97,118,88,+2.43%,94.70.,17
SBUX,108,128,95,+16.92%,92.80.,34
STT,85,102,69,+13.18%,75.10.,19
STLD,110,130,75,-5.16%,115.98.,12
STE,242,265,215,+12.27%,216.00.,7
SYK,330,360,300,+6.02%,311.27.,29
SYF,41,58,30,+3.71%,39.53.,24
SNPS,624,675,570,+18.31%,527.87.,16
SYY,83,87,73,+11.11%,75.15.,20
TMUS,185,235,129,+14.08%,162.16.,28
TROW,102,110,85,-7.31%,110.05.,16
TTWO,171,200,130,+2.46%,167.39.,27
TPR,41,60,29,+5.21%,38.97.,21
TRGP,105,122,94,+20.93%,86.83.,23
TGT,155,180,125,+8.75%,142.53.,35
TEL,156,175,140,+7.94%,144.52.,20
TDY,495,537,430,+18.16%,418.93.,10
TFX,271,285,230,+10.87%,244.43.,17
TER,106,140,88,+1.00%,105.45.,19
TSLA,225,345,68,+22.81%,183.21.,46
TXN,168,210,109,+2.37%,164.11.,32
TXT,92,104,81,+8.46%,84.82.,19
TMO,557,640,435,+1.86%,547.34.,27
TJX,105,116,92,+8.96%,96.37.,26
TSCO,223,262,171,-2.06%,227.70.,34
TT,252,289,206,+0.59%,251.48.,25
TDG,1140,1275,875,+5.33%,1,24
TRV,216,247,186,+2.40%,211.42.,27
TRMB,59,66,48,+15.71%,50.99.,13
TFC,40,46,35,+5.71%,37.84.,25
TYL,467,510,395,+8.58%,430.55.,19
TSN,51,70,42,-7.26%,54.99.,14
USB,47,59,44,+10.23%,42.64.,27
UDR,38,45,34,+4.92%,36.70.,20
ULTA,564,635,400,+14.41%,493.52.,30
UNP,265,290,200,+10.25%,240.37.,27
UAL,60,98,48,+40.98%,42.56.,22
UPS,168,215,100,+5.48%,159.27.,33
URI,559,1187,400,-11.30%,630.18.,23
UNH,600,675,470,+19.25%,503.13.,28
UHS,160,190,140,+1.84%,157.60.,17
VLO,153,175,130,+10.93%,137.93.,22
VTR,52,61,47,+9.70%,47.40.,18
VRSN,240,240,215,+18.16%,203.11.,5
VRSK,254,285,225,+4.25%,244.07.,21
VZ,45,49,32,+6.14%,42.40.,28
VRTX,438,540,325,+1.85%,430.06.,32
VFC,17,25,13,+0.86%,17.35.,25
VTRS,11,14,9,-5.11%,11.94.,11
VICI,36,43,32,+18.38%,30.41.,24
V,303,326,255,+13.07%,267.97.,39
VMC,250,279,208,+12.44%,222.34.,26
WAB,135,208,121,+3.85%,129.99.,15
WBA,24,37,21,+7.31%,22.83.,20
WMT,180,210,161,+9.56%,164.29.,41
WBD,15,24,9,+41.51%,10.60.,29
WM,185,215,163,-0.44%,185.82.,23
WAT,290,346,250,-8.29%,316.21.,20
WEC,88,96,75,+10.17%,79.88.,18
WFC,56,66,50,+11.30%,50.32.,29
WELL,96,108,78,+9.85%,87.39.,19
WST,395,440,323,+9.32%,361.32.,11
WDC,68,82,45,+16.82%,58.21.,24
WRK,45,50,39,+6.16%,42.39.,10
WY,37,40,36,+13.19%,33.13.,12
WHR,120,140,63,+3.48%,115.97.,8
WMB,38,43,35,+8.94%,34.88.,25
WTW,258,316,215,+3.60%,249.52.,21
GWW,809,953,696,-8.34%,882.63.,17
WYNN,108,141,81,+11.65%,96.73.,18
XEL,65,74,61,+10.29%,59.39.,15
XYL,123,140,100,+9.94%,112.33.,20
YUM,140,160,116,+8.45%,129.09.,28
ZBRA,277,340,205,+10.04%,252.19.,14
ZBH,132,149,105,+8.43%,121.74.,28
ZION,46,51,32,+5.63%,44.02.,25
ZTS,226,255,203,+17.98%,191.55.,17
